threadID,sectionID,event,val,ts,ticket
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929599268235956,296
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,1,1573929599268296807,297
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,1,1573929599268341100,298
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599268456285,299
id_140527665071936,devolverBicicleta,END_FUNC_PROC,0,1,1573929599268653633,300
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599268737172,301
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599268797016,302
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599275466507,303
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599275510507,304
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599275547715,305
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599275584257,306
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599275602439,307
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599275660267,308
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599276932635,309
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599276963217,310
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,1,0,1573929599281789122,311
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,1,0,1573929599282971928,312
